--- Excluded due to invalid trip data ---              id  vendor_id      pickup_datetime     dropoff_datetime  passenger_count  pickup_longitude  pickup_latitude  dropoff_longitude  dropoff_latitude store_and_fwd_flag  trip_duration  trip_distance
246    id3487442          2  2016-02-29 18:39:12  2016-02-29 18:42:59                1        -73.981819        40.768963         -73.981819         40.768963                  N            227            0.0
291    id0924324          2  2016-05-10 18:07:52  2016-05-10 18:26:21                2        -73.959068        40.775661         -73.959068         40.775661                  N           1109            0.0
407    id1145809          2  2016-05-16 23:15:13  2016-05-16 23:31:00                6        -73.808487        40.687336         -73.808487         40.687336                  N            947            0.0
702    id3499387          1  2016-01-25 19:45:12  2016-01-25 19:54:52                1        -73.786720        40.647041         -73.786720         40.647041                  N            580            0.0
1620   id0753277          1  2016-01-27 22:29:31  2016-01-27 22:29:58                1        -74.209854        40.816853         -74.209854         40.816853                  N             27            0.0
1728   id2134482          1  2016-01-22 16:13:01  2016-01-22 16:13:20                1        -73.776314        40.645454         -73.776314         40.645454                  N             19            0.0
1769   id2892749          1  2016-01-18 15:24:43  2016-01-18 15:28:57                5        -73.954666        40.821003         -73.954666         40.821003                  Y            254            0.0
2087   id0931199          2  2016-05-04 22:28:43  2016-05-04 22:32:51                1        -73.954628        40.777180         -73.954628         40.777180                  N            248            0.0
2441   id2251007          2  2016-05-23 14:20:49  2016-05-23 14:20:57                1        -73.781830        40.644699         -73.781830         40.644699                  N              8            0.0
2609   id1992673          2  2016-03-02 20:10:41  2016-03-02 20:30:53                5        -73.875313        40.773682         -73.875313         40.773682                  N           1212            0.0
2625   id3885040          1  2016-04-18 12:55:14  2016-04-18 12:55:20                1        -73.788239        40.641476         -73.788239         40.641476                  N              6            0.0
3014   id3206922          2  2016-04-24 18:38:34  2016-04-24 18:48:32                1        -73.985168        40.736259         -73.985168         40.736259                  N            598            0.0
3042   id2206138          1  2016-01-21 12:07:45  2016-01-21 12:07:51                1        -73.782715        40.643967         -73.782715         40.643967                  N              6            0.0
3261   id1606138          2  2016-04-27 15:14:54  2016-04-27 15:15:01                2        -74.177780        40.690281         -74.177780         40.690281                  N              7            0.0
3610   id0068745          2  2016-05-26 17:25:41  2016-05-26 17:35:45                2        -73.952057        40.790051         -73.952057         40.790051                  N            604            0.0
4058   id3861452          2  2016-06-26 17:44:11  2016-06-26 18:06:16                2        -73.863373        40.769958         -73.863373         40.769958                  N           1325            0.0
4158   id3695064          1  2016-04-11 15:30:02  2016-04-11 15:30:19                1        -73.794067        40.657173         -73.794067         40.657173                  N             17            0.0
4776   id3035499          2  2016-05-23 20:24:43  2016-05-23 20:36:07                1        -73.991013        40.756599         -73.991013         40.756599                  N            684            0.0
4892   id0915475          1  2016-03-14 06:03:38  2016-03-14 06:03:43                1        -73.982407        40.731144         -73.982407         40.731144                  N              5            0.0
5673   id1712432          1  2016-01-31 17:46:16  2016-01-31 18:02:04                1        -73.790718        40.644096         -73.790718         40.644096                  N            948            0.0
6142   id0312319          1  2016-06-17 19:01:34  2016-06-17 19:05:05                1        -74.000710        40.661373         -74.000710         40.661373                  N            211            0.0
6160   id3576039          1  2016-02-19 12:21:15  2016-02-19 12:24:01                1        -73.952309        40.771397         -73.952309         40.771397                  N            166            0.0
7201   id3032018          2  2016-05-02 07:27:12  2016-05-02 07:35:54                2        -73.756172        40.716084         -73.756172         40.716084                  N            522            0.0
7794   id0688948          1  2016-04-14 20:13:28  2016-04-14 20:13:43                1        -74.161804        40.836494         -74.161804         40.836494                  N             15            0.0
8618   id1855512          2  2016-01-29 02:40:15  2016-01-29 02:40:25                1        -73.959122        40.712090         -73.959122         40.712090                  N             10            0.0
8952   id3134126          2  2016-03-20 04:14:27  2016-03-20 04:15:06                1        -73.969505        40.757652         -73.969505         40.757652                  N             39            0.0
8962   id1414524          1  2016-05-04 09:04:33  2016-05-04 09:05:48                1        -73.790192        40.643482         -73.790192         40.643482                  N             75            0.0
8984   id0796177          2  2016-04-20 16:41:06  2016-04-20 16:41:22                1        -73.937103        40.764820         -73.937103         40.764820                  N             16            0.0
9021   id3541058          1  2016-02-27 18:20:47  2016-02-27 18:21:32                1        -74.026512        40.748112         -74.026512         40.748112                  N             45            0.0
9085   id1247127          2  2016-03-10 12:43:31  2016-03-10 12:51:17                1        -73.960541        40.812801         -73.960541         40.812801                  N            466            0.0
9183   id2418561          2  2016-02-04 01:02:57  2016-02-04 01:11:39                6        -73.974472        40.754848         -73.974472         40.754848                  N            522            0.0
9531   id2706000          1  2016-01-17 00:25:13  2016-01-17 00:28:10                1        -73.954666        40.821003         -73.954666         40.821003                  N            177            0.0
9601   id0602796          2  2016-01-28 12:25:51  2016-01-28 12:31:17                1        -73.983818        40.737587         -73.983818         40.737587                  N            326            0.0
9684   id2466113          2  2016-05-22 09:59:56  2016-05-22 10:02:52                2        -73.988747        40.745312         -73.988747         40.745312                  N            176            0.0
9943   id3819108          1  2016-06-08 12:06:42  2016-06-08 12:07:42                1        -73.867088        40.770344         -73.867088         40.770344                  N             60            0.0
9950   id0309508          2  2016-04-30 00:27:52  2016-04-30 00:38:03                1        -73.989037        40.730789         -73.989037         40.730789                  N            611            0.0
10581  id2763214          2  2016-05-14 20:15:00  2016-05-14 20:31:19                5        -73.984428        40.724766         -73.984428         40.724766                  N            979            0.0
11141  id2020993          2  2016-06-07 16:38:55  2016-06-07 17:06:55                1        -73.953941        40.821892         -73.953941         40.821892                  N           1680            0.0
11289  id1322274          2  2016-04-27 12:21:08  2016-04-27 12:21:17                1        -74.005219        40.733940         -74.005219         40.733940                  N              9            0.0
11705  id0075977          1  2016-01-27 23:48:20  2016-01-27 23:56:46                1        -73.984383        40.745747         -73.984383         40.745747                  N            506            0.0
11733  id1209400          1  2016-05-16 10:57:44  2016-05-16 10:58:04                1        -73.996513        40.741280         -73.996513         40.741280                  N             20            0.0
11805  id3535158          1  2016-02-11 18:57:20  2016-02-11 19:14:00                1        -73.735237        40.822712         -73.735237         40.822712                  N           1000            0.0
